comment_id,text,video_id
UgxVcfXVgPDweWjEWkN4AaABAg,Papitoooooo no me hagas hacerme un tiwtch.... cuando mi relatos clandestinos,TljdXjGe0XY
UgxwS0EuVJ1SjdEoJZV4AaABAg,"Siempre da gusto ver al tio sky jugar pero QUE P""TA PINCHE ANSIEDAD DA VERLO IGNORAR ABSOLUTAMENTE TODOS LOS DIALOGOS y despues renegar todo el tiempo por no leer un solo texto.",TljdXjGe0XY
Ugw8zuQkTPdsYmS6GAl4AaABAg,"Increíble maestría en el manejo del stream, definitivamente bien merecido su apodo de ""Mi king""",TljdXjGe0XY
Ugwhgle594ohkH2qkAp4AaABAg,Desbaneame en twitch qlo,TljdXjGe0XY
UgwINSL5zMhBk4Yym054AaABAg,Más videos de este lado tío sky,TljdXjGe0XY
UgztGLCn5pizB5Mll0x4AaABAg,Tercer coment ya dejé like mi Kong,TljdXjGe0XY
UgyzuHnIbacmjjbDqvJ4AaABAg,A ESTO SE DEDICABA UN PRIMO Y LO AGARRARON EN EL ADO Sadge,TljdXjGe0XY
UgzFkvChSNGQRdxjmOh4AaABAg,PRIMER COMENTARIO,TljdXjGe0XY
UgzuKxNNbkrYy72y-FB4AaABAg,Pásate los kingdom hearts ❤,yDdxQ18c5Jo
Ugwje1QbGHD9o4wQ9kl4AaABAg,"Me lo pase bien mikin, ya lo compartí en Ventas Chiapas para que lo vea más gente <3",_axdEZgfYyM
UgzGXgEAdXPisW0oC_J4AaABAg,Que rico ver streams re subidos sin anuncios.,o-zxvUfGbzE
UgyH1suSGB1nyf3GtER4AaABAg,Falté yo mi king pero no hay pp,o-zxvUfGbzE
UgzZuc0k3A4kysOtRnB4AaABAg,Skyshock asme elamor,dfxL7Bl7u1E
Ugy1npThsYGgrsqOOW94AaABAg,Era Wolph1089 o 1989?,dfxL7Bl7u1E
Ugx8P0EsmMBNMKe9Y0F4AaABAg,ta bueno el render,dfxL7Bl7u1E
Ugw4xa-WC3vvKXTlw7B4AaABAg,Ya pensé que te habían limpiado mi kong,dfxL7Bl7u1E
UgzCz4oPnQrSXq_9fmN4AaABAg,PORQUE USA ANTEOJOS DE SOL DENTRO DE CUARTO??,dfxL7Bl7u1E
UgwN_1-FWtAOGQ_iFWt4AaABAg,Muy buen programa te felicito baja más videos en YouTube,dfxL7Bl7u1E
UgyVJ1eVb67X5pWxXTd4AaABAg,"la verdad no la tienes tu, dejar de poner titulos de: la verdad, COMO SI FUERÁIS AHORA TODOS LOS GURÚS DE LA UFOLOGIA",dfxL7Bl7u1E
UgwnyGMNl07gDPgVo-N4AaABAg,Deberías subir aquí todos tus directos de twitch para saber de qué son,dfxL7Bl7u1E
UgzDtro5HWvZVsJ8bKd4AaABAg,"lo puse en la sala mientras hacia los tamales y tenia a mi jefita bien entretenida, que buen relatos Chadge",dfxL7Bl7u1E
UgzvrvL-glmuurDmq9J4AaABAg,Justo leí ahorita que cortaron las comunicaciones de American Airlines no tendra algo que ver? 2:07:00,dfxL7Bl7u1E
UgxKLuWdvsbYz4VwIUJ4AaABAg,Todo chido que subas tu contenido a YouTube la otra plataforma está dlv 😂,dfxL7Bl7u1E
UgyNR-GOmEr1yYVGoIR4AaABAg,Grande mi Kong que bueno que quedo grabado,dfxL7Bl7u1E
UgyFR0KXMWXVNm-GWP94AaABAg,"Pero tío Sky, volvió fuerte fuerte!",dfxL7Bl7u1E
UgzcptdnjGPvXTFHXQp4AaABAg,Sube los otros relatos mi kon,dfxL7Bl7u1E
UgxEY2diWUhtqfssKXZ4AaABAg,por fin,dfxL7Bl7u1E
Ugxh1DnFzAAFo4maDF14AaABAg,"Contenidazo, grande mi kin",dfxL7Bl7u1E
UgzPrpOualC41WMxICV4AaABAg,Gracias por seguir haciendo Relatos Clandestinos mi king <3,dfxL7Bl7u1E
Ugw4wizBn_XjSO-L0RJ4AaABAg,Que reviva el canal 🙏,dfxL7Bl7u1E
UgwSjXlL-5vB_jtq1qp4AaABAg,silencio empezó mi novela,dfxL7Bl7u1E
Ugzgujue8AAE5JZu4vR4AaABAg,Adiós mi Kin te irá mejor en la CIA 😢,dfxL7Bl7u1E
UgziI_1jLDE-1R5ZNSB4AaABAg,"e we para cuando el siguiente stream por aqui

PD: e we porque ya no puedo unir y ayer si podia unirme 🤭",dfxL7Bl7u1E
Ugxtf0z6r5_cTDCmWr94AaABAg,"Grande mi Kon, haciendo un recopilatorio de los temas conspiranoicos de actualidad y de todo el año 👽💀❤",dfxL7Bl7u1E
UgwuoKSHrq9BhkeUM1Z4AaABAg,Mas e agora que o governo dos EUA proibiu o uso de drones temporariamente? Extraterrestres não vão respeitar essa proibição. Eles continuam aparecendo? Isso é o que mais importa agora.,dfxL7Bl7u1E
Ugx7aVYU4vvMLLuRE3N4AaABAg,"Volviste, y con mi contenido favorito, gracias sky, te extrañaba",dfxL7Bl7u1E
UgxW-ojFT9TWjVdFnMh4AaABAg,"Wey porfin otra vez, extrañaba los relatos alv te tardaste un chingo",dfxL7Bl7u1E
UgwJ7Zjwku19jybNY_Z4AaABAg,"Al fin un vídeo tuyo en youtube, hace años que no uso twitch pero te recuerdo que narrabas Lol, ojalá subieras aquí tus directos!",dfxL7Bl7u1E
UgwdyaKzxhD9j1PtFyx4AaABAg,Mi papá volvió de comprar cigarros,dfxL7Bl7u1E
UgzJ5yUZfRdK08mXsG94AaABAg,"Buen vídeo, por favor crea más contenido así",dfxL7Bl7u1E
